Team,Name,Role,Bowling Type,Batting Position,Nationality,Priority,Rating
LSG,Mitchell Marsh,Batter,NA,Opener,Australia,Top,10
LSG,Himmat Singh,Batter,NA,Opener,India,Mid,8
LSG,Matthew Breetzke,Batter,NA,Middle,South Africa,Mid,8
LSG,Akshat Raghuwanshi,Batter,NA,Middle,India,High,8
LSG,Aiden Markram,All Rounder,Spin,Opener,South Africa,Top,9
LSG,Abdul Samad,All Rounder,Spin,Middle,India,Mid,8
LSG,Shahbaz Ahmed,All Rounder,Spin,Lower Middle,India,Mid,8
LSG,Arshin Kulkarni,All Rounder,Pace,Lower Middle,India,Mid,8
LSG,Wanindu Hasaranga,All Rounder,Spin,Lower Middle,Sri Lanka,Mid,10
LSG,Ayush Badoni,All Rounder,Spin,Middle,India,Top,9
LSG,Mohammad Shami,Bowler,Pace,Lower,India,Top,10
LSG,Avesh Khan,Bowler,Pace,Lower,India,High,9
LSG,M Siddharth,Bowler,Pace,Lower,India,High,8
LSG,Digvesh Singh,Bowler,Spin,Lower,India,High,9
LSG,Akash Singh,Bowler,Pace,Lower,India,Mid,8
LSG,Arjun Tendulkar,Bowler,Pace,Lower,India,Mid,8
LSG,Anrich Nortje,Bowler,Pace,Lower,South Africa,High,10
LSG,Mohsin Khan,Bowler,Pace,Lower,India,Mid,9
LSG,Naman Tiwari,Bowler,Pace,Lower,India,Low,8
LSG,Prince Yadav,Bowler,Pace,Lower,India,Mid,8
LSG,Mayank Yadav,Bowler,Pace,Lower,India,High,9
MI,Ryan Rickelton,WK,NA,Opener,South Africa,Mid,9
MI,Robin Minz,WK,NA,Top,India,Low,7
MI,Quinton De Kock,WK,NA,Opener,South Africa,High,10
MI,Rohit Sharma,Batter,NA,Opener,India,Top,10
MI,SuryaKumar Yadav,Batter,NA,Top,India,Top,10
MI,Tilak Varma,Batter,NA,Top,India,Top,10
MI,Sherfane Rutherforde,Batter,NA,Middle,West Indies,Mid,8
MI,Danish Malewar,Batter,NA,Top,India,Low,7
MI,Hardik Pandya,All Rounder,Pace,Middle,India,Top,10
MI,Naman Dhir,All Rounder,Spin,Middle,India,High,8
MI,Mitchell Santner,All Rounder,Spin,Lower Middle,New Zealand,High,8
MI,Raj Angad Bawa,All Rounder,Spin,Lower Middle,India,Mid,8
